Replicate,RH,H20,ID,Death
1,1,2,1,32
1,1,2,2,35
1,1,2,3,43
1,1,2,4,41
1,1,2,5,33
1,1,2,6,25
1,1,2,7,37
1,1,2,8,NA
1,1,2,9,43
1,1,2,10,27
1,1,3,1,37
1,1,3,2,NA
1,1,3,3,NA
1,1,3,4,NA
1,1,3,5,24
1,1,3,6,32
1,1,3,7,NA
1,1,3,8,NA
1,1,3,9,NA
1,1,3,10,NA
1,2,2,1,39
1,2,2,2,42
1,2,2,3,5
1,2,2,4,37
1,2,2,5,1
1,2,2,6,NA
1,2,2,7,NA
1,2,2,8,21
1,2,2,9,NA
1,2,2,10,NA
1,2,3,1,40
1,2,3,2,41
1,2,3,3,28
1,2,3,4,42
1,2,3,5,31
1,2,3,6,22
1,2,3,7,NA
1,2,3,8,8
1,2,3,9,NA
1,2,3,10,28
1,3,2,1,NA
1,3,2,2,35
1,3,2,3,35
1,3,2,4,23
1,3,2,5,35
1,3,2,6,NA
1,3,2,7,34
1,3,2,8,33
1,3,2,9,32
1,3,2,10,NA
1,3,3,1,39
1,3,3,2,35
1,3,3,3,13
1,3,3,4,21
1,3,3,5,14
1,3,3,6,14
1,3,3,7,15
1,3,3,8,40
1,3,3,9,12
1,3,3,10,18
2,1,1,1,NA
2,1,1,2,NA
2,1,1,3,NA
2,1,1,4,6
2,1,1,5,14
2,1,1,6,NA
2,1,1,7,6
2,1,1,8,NA
2,1,1,9,8
2,1,1,10,NA
2,1,3,1,10
2,1,3,2,NA
2,1,3,3,NA
2,1,3,4,21
2,1,3,5,18
2,1,3,6,6
2,1,3,7,NA
2,1,3,8,NA
2,1,3,9,NA
2,1,3,10,NA
2,2,1,1,NA
2,2,1,2,NA
2,2,1,3,13
2,2,1,4,NA
2,2,1,5,NA
2,2,1,6,NA
2,2,1,7,16
2,2,1,8,20
2,2,1,9,NA
2,2,1,10,14
2,2,3,1,NA
2,2,3,2,NA
2,2,3,3,NA
2,2,3,4,NA
2,2,3,5,NA
2,2,3,6,NA
2,2,3,7,NA
2,2,3,8,NA
2,2,3,9,NA
2,2,3,10,5
2,3,1,1,6
2,3,1,2,NA
2,3,1,3,NA
2,3,1,4,NA
2,3,1,5,16
2,3,1,6,NA
2,3,1,7,NA
2,3,1,8,NA
2,3,1,9,NA
2,3,1,10,21
2,3,3,1,NA
2,3,3,2,NA
2,3,3,3,NA
2,3,3,4,NA
2,3,3,5,NA
2,3,3,6,NA
2,3,3,7,NA
2,3,3,8,NA
2,3,3,9,NA
2,3,3,10,NA
